kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K04360.01,CONFIRMED,2.71603664,1.744,98.5,1.05,807.43,1360.0,0.44,13.1,6011.0,4.452,1.041,14.801
K04361.01,CANDIDATE,75.8781344,1.383,1054.0,3.39,7.18,417.0,0.705,11.9,5579.0,4.413,0.972,15.183
K04362.01,FALSE POSITIVE,374.59003,15.19,267.9,1.34,0.62,227.0,0.0624,6.6,5497.0,4.508,0.827,14.878
K04427.01,CANDIDATE,147.661729,6.207,1087.8,1.59,0.23,176.0,0.002,13.2,3788.0,4.774,0.49,15.645
K04428.01,CANDIDATE,13.00291716,3.058,225.3,1.28,60.11,710.0,0.701,14.0,5796.0,4.575,0.8,14.634
K07665.01,FALSE POSITIVE,319.30633,6.74,155.2,1.26,1.44,279.0,0.092,7.2,6095.0,4.459,1.014,13.327
K02972.02,CANDIDATE,42.0292298,8.499,373.7,2.33,26.46,578.0,0.015,14.5,5850.0,4.297,1.217,15.085
K04429.01,FALSE POSITIVE,1.75254087,4.098,42.5,1.41,8141.84,2423.0,0.5574,17.7,6660.0,3.894,2.074,12.58
K04430.01,CANDIDATE,0.505111993,0.4053,212.8,1.58,2970.58,1886.0,0.841,18.7,5262.0,4.59,0.783,15.544
K02433.05,FALSE POSITIVE,0.646745436,1.188,115.6,1.49,7468.24,2373.0,0.942,14.3,6325.0,4.409,1.112,15.212
K04222.01,CONFIRMED,3.38557445,1.879,121.9,1.63,1122.9,1476.0,0.129,13.1,5718.0,4.069,1.48,13.767
K04223.01,FALSE POSITIVE,2.754024,4.15,172.2,1.68,1374.41,1553.0,0.7277,13.8,6419.0,4.321,1.188,14.059
K04224.01,FALSE POSITIVE,1.975208831,1.513,76.3,1.59,4299.89,2064.0,0.559,15.1,6401.0,4.029,1.744,13.609
K04225.01,FALSE POSITIVE,0.960843605,3.22,141.7,19.15,3120.32,1904.0,1.143,25.5,5708.0,4.378,1.129,14.92
K04293.01,FALSE POSITIVE,4.206109,5.16,120.0,0.91,235.01,999.0,0.607,11.9,5480.0,4.522,0.802,15.316
K04294.01,FALSE POSITIVE,0.962590772,1.2569,1021.6,31.51,3989.37,2026.0,1.236,90.4,6274.0,4.434,1.062,14.843
K04295.01,CONFIRMED,13.3997555,3.534,167.3,1.51,145.65,886.0,0.375,13.6,6401.0,4.389,1.15,14.924
K04296.01,CANDIDATE,2.49385348,1.414,46.9,0.59,579.64,1251.0,0.331,12.3,5615.0,4.477,0.85,13.03
K07656.01,FALSE POSITIVE,0.776950288,1.288,396.0,1.72,2974.07,1882.0,0.047,25.8,5861.0,4.546,0.865,15.832
K04297.01,FALSE POSITIVE,5.93725628,3.639,115.6,0.86,148.97,891.0,0.351,17.1,5428.0,4.494,0.799,14.702
K04363.01,CANDIDATE,18.22211768,2.044,2318.0,7.45,34.99,620.0,0.973,15.2,5162.0,4.411,0.958,16.084
K04364.01,CONFIRMED,4.56383697,2.271,201.8,1.22,218.18,980.0,0.365,9.9,5408.0,4.496,0.861,15.448
K02722.05,CANDIDATE,16.5340022,4.063,89.2,1.17,106.21,819.0,0.525,9.3,6052.0,4.285,1.202,13.268
K04365.01,FALSE POSITIVE,55.119831,4.703,114.5,1.68,35.48,622.0,0.6049,8.2,6297.0,4.155,1.506,12.211
K04365.02,FALSE POSITIVE,25.6416117,5.5,126.4,1.76,98.5,803.0,0.5744,4.9,6297.0,4.155,1.506,12.211
K04439.01,FALSE POSITIVE,1.33258455,5.77,152.7,15.89,1884.66,1680.0,1.141,8.1,6039.0,4.493,0.951,15.556
K04440.01,FALSE POSITIVE,350.81029,11.29,538.3,2.86,1.51,282.0,0.3892,15.1,5841.0,4.321,1.226,14.982
K04441.01,CONFIRMED,0.341842017,1.1554,285.6,1.72,3991.16,2023.0,0.957,70.1,5016.0,4.601,0.747,14.915
K04442.01,CANDIDATE,13.9482197,7.686,119.4,2.53,301.8,1063.0,0.197,14.5,5529.0,3.808,2.346,14.305
K04443.01,CANDIDATE,5.67577999,3.554,51.2,1.22,802.11,1357.0,0.91,11.2,6681.0,4.233,1.438,13.802
K07666.01,FALSE POSITIVE,0.570953851,0.998,76.1,1.01,8688.17,2464.0,0.059,8.9,6238.0,4.396,1.145,15.212
K04226.01,CANDIDATE,49.564693,8.54,113.5,1.63,28.19,588.0,0.685,15.0,5907.0,4.212,1.442,12.83
K04227.01,FALSE POSITIVE,4.29258258,3.069,369.6,1.87,428.77,1161.0,0.339,16.1,6137.0,4.487,0.963,15.888
K04228.01,FALSE POSITIVE,0.960842633,2.6441,2022.9,67.53,14655.53,2808.0,1.341,176.1,7381.0,4.186,1.597,13.402
K04229.01,FALSE POSITIVE,14.5893928,15.54,,,102.46,,,,,,,12.616
K04230.01,CONFIRMED,5.49548533,2.461,85.8,1.3,661.04,1293.0,0.202,14.2,6157.0,4.159,1.392,13.95
K04298.01,CANDIDATE,2.89494709,3.254,45.8,1.16,3204.25,1919.0,0.191,14.3,7087.0,4.137,1.684,13.458
K04299.01,FALSE POSITIVE,0.980505042,1.4068,426.6,26.35,3100.61,1904.0,1.206,51.5,5794.0,4.372,1.059,15.198
K02541.02,CONFIRMED,20.4853893,10.229,89.5,3.6,251.16,1015.0,0.834,17.9,4938.0,3.45,3.324,13.007
K04300.01,CONFIRMED,3.58273837,1.523,360.5,1.64,302.74,1064.0,0.143,11.6,5448.0,4.517,0.872,15.965
K04301.01,CONFIRMED,15.604841,4.543,73.4,1.57,248.62,1013.0,0.715,15.3,6254.0,4.019,1.706,13.096
K04365.03,FALSE POSITIVE,75.681309,11.62,107.7,1.64,23.25,560.0,0.6194,9.1,6297.0,4.155,1.506,12.211
K04366.01,CANDIDATE,0.762950224,1.133,187.3,1.0,1763.73,1651.0,0.197,15.8,5385.0,4.61,0.731,15.556
K07657.01,FALSE POSITIVE,62.060783,28.203,472.9,2.11,6.07,400.0,0.928,19.9,5526.0,4.578,0.784,15.745
K04367.01,CANDIDATE,170.995748,3.88,477.1,4.9,10.86,463.0,0.839,15.5,6127.0,3.991,1.983,13.985
K04368.01,FALSE POSITIVE,12.4252735,20.756,84.7,2.37,673.53,1299.0,0.171,36.6,6156.0,3.703,2.557,13.046
K04368.02,FALSE POSITIVE,39.2820405,3.344,157.5,58.67,108.22,823.0,1.241,6.9,6143.0,3.81,2.136,13.046
K04369.01,FALSE POSITIVE,361.54561249,25.28,,,,,,,,,,15.894
K04431.01,CANDIDATE,19.5650801,4.242,61.7,0.97,92.77,791.0,0.025,13.8,6180.0,4.294,1.235,12.674
K04431.02,FALSE POSITIVE,355.79978,5.972,172.3,1.87,2.6,324.0,0.4433,10.5,6350.0,4.225,1.394,12.674
K04432.01,FALSE POSITIVE,410.99389,12.01,550.0,2.09,0.55,220.0,0.3421,8.7,5471.0,4.533,0.898,15.46
K04433.01,FALSE POSITIVE,2.17823752,2.259,44.0,0.64,1114.8,1473.0,0.037,10.1,6052.0,4.422,0.969,14.102
K04434.01,FALSE POSITIVE,1.404674486,5.056,155.5,0.86,379.5,1126.0,0.8171,20.7,4716.0,4.65,0.609,14.962
K04231.01,FALSE POSITIVE,24.9097436,3.856,150.2,2.24,163.58,912.0,0.5729,9.7,6596.0,4.037,1.757,13.073
K02442.02,CONFIRMED,12.3101351,3.797,263.7,1.51,42.42,651.0,0.783,12.9,5009.0,4.491,0.84,15.629
K04232.01,CONFIRMED,2.61576515,2.777,120.4,1.06,851.6,1379.0,0.25,15.1,6088.0,4.446,0.958,15.18
K04233.01,FALSE POSITIVE,409.2452,13.06,531.2,2.1,0.84,244.0,0.0176,12.8,5910.0,4.466,0.911,15.42
K04234.01,CONFIRMED,6.94245216,3.491,160.8,1.34,239.39,1003.0,0.485,14.7,6108.0,4.466,1.03,15.158
K04302.01,CANDIDATE,5.53312006,3.486,53.1,1.05,680.77,1303.0,0.299,13.4,6170.0,4.15,1.425,13.591
K04303.01,CANDIDATE,200.721168,9.91,822.5,3.32,2.72,327.0,0.234,13.1,5566.0,4.275,1.17,15.511
K04304.01,CONFIRMED,9.4061364,4.882,79.5,1.14,219.36,981.0,0.397,13.2,5855.0,4.24,1.268,14.09
K04305.01,FALSE POSITIVE,0.935086665,1.12,71.2,1.18,8250.8,2431.0,0.4742,13.1,6762.0,4.282,1.348,13.993
K04306.01,FALSE POSITIVE,1.489457454,3.028,56.3,1.58,8026.6,2415.0,0.171,29.7,6316.0,3.908,2.087,13.09
K04370.01,FALSE POSITIVE,1.181165291,1.013,370.4,1.52,905.88,1398.0,0.632,14.1,5203.0,4.582,0.747,15.971
K04371.01,CONFIRMED,66.373298,8.559,415.0,1.99,11.59,471.0,0.021,13.7,6143.0,4.47,0.976,15.37
K02732.02,CONFIRMED,13.61165024,7.617,95.5,1.46,198.73,958.0,0.112,31.6,6170.0,4.192,1.499,12.805
K04372.01,CONFIRMED,6.24564633,2.459,212.0,1.06,67.62,731.0,0.594,11.9,4858.0,4.622,0.707,15.485
K04373.01,FALSE POSITIVE,0.945829261,1.715,98.2,0.86,2433.01,1790.0,0.326,15.1,5959.0,4.546,0.859,15.263
K04435.01,CANDIDATE,10.8614163,6.02,64.8,1.01,154.68,899.0,0.939,12.9,6339.0,4.454,1.017,13.517
K04436.01,FALSE POSITIVE,0.973160836,0.864,138.3,1.22,3303.84,1932.0,0.034,9.8,6108.0,4.466,1.03,15.238
K04437.01,FALSE POSITIVE,4.05943749,3.245,105.4,2.11,664.54,1295.0,0.914,18.1,5051.0,3.978,1.655,13.514
K03004.02,CANDIDATE,7.03965141,3.141,268.7,2.72,445.49,1171.0,0.778,9.8,5902.0,4.128,1.513,14.935
K07662.01,CANDIDATE,4.72519164,3.751,98.8,3.98,6060.79,2250.0,0.6,10.0,6655.0,3.49,3.831,12.358
K04438.01,FALSE POSITIVE,6.39903778,3.15,186.6,6.54,2376.4,1780.0,0.241,24.1,5178.0,3.286,4.856,13.507
K04235.01,CANDIDATE,66.6434565,2.385,277.3,2.99,12.17,476.0,0.985,14.8,5751.0,4.339,1.164,13.224
K04236.01,FALSE POSITIVE,0.739761008,7.589,292.1,9.67,117.05,839.0,1.2359,34.7,3417.0,4.9,0.35,15.049
K04237.01,FALSE POSITIVE,0.950735805,1.1434,175.1,1.39,3129.59,1908.0,0.57,17.1,6039.0,4.478,1.005,15.156
K04238.01,FALSE POSITIVE,369.819993,20.232,1599.0,4.25,0.38,201.0,0.9179,42.1,4806.0,4.495,0.839,15.089
