kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,93.59,793.0,0.146,35.8,5455.0,4.467,0.927,15.347
K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,9.11,443.0,0.586,25.8,5455.0,4.467,0.927,15.347
K00753.01,CANDIDATE,19.89913995,1.7822,10829.0,14.6,39.3,638.0,0.969,76.3,5853.0,4.544,0.868,15.436
K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,891.96,1395.0,1.276,505.6,5805.0,4.564,0.791,15.597
K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,926.16,1406.0,0.701,40.9,6031.0,4.438,1.046,15.509
K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,114.81,835.0,0.538,66.5,6046.0,4.486,0.972,15.714
K00756.02,CONFIRMED,4.13443512,3.1402,686.0,2.77,427.65,1160.0,0.762,40.2,6046.0,4.486,0.972,15.714
K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,807.74,1360.0,0.755,15.0,6046.0,4.486,0.972,15.714
K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,767.22,1342.0,1.169,47.7,6227.0,3.986,1.958,12.66
K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,30.75,600.0,0.052,161.9,5031.0,4.485,0.848,15.841
K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,13.04,761.46,1339.0,0.818,4304.3,5820.0,4.457,0.964,11.338
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,4148.92,2048.0,0.224,5945.9,6440.0,4.019,1.952,10.463
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,1264.67,1521.0,0.631,1741.5,6225.0,4.169,1.451,13.563
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,500.46,1206.0,0.051,50.6,5833.0,4.407,1.022,12.772
K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,150.51,75.88,753.0,2.483,622.1,5795.0,4.554,0.848,15.472
K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,17.69,523.0,0.804,214.7,5043.0,4.591,0.68,15.487
K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,49.29,55.97,698.0,1.065,2317.0,6117.0,4.496,0.947,15.341
K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,7.94,29.61,595.0,0.292,303.4,5152.0,4.517,0.786,15.788
K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,2.47,41.85,649.0,0.387,87.2,4856.0,4.583,0.696,15.302
K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,2.85,50.04,678.0,0.258,65.4,4537.0,4.648,0.672,15.784
K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,305.34,1066.0,0.044,48.2,4989.0,4.504,0.819,15.269
K00749.01,CONFIRMED,5.349553819,3.0278,831.0,2.55,168.99,919.0,0.092,60.6,5185.0,4.44,0.91,15.416
K00749.02,CONFIRMED,3.94105221,2.5984,363.3,1.7,253.15,1018.0,0.226,28.9,5185.0,4.44,0.91,15.416
K00749.03,CONFIRMED,8.10904807,3.596,217.4,1.3,97.03,800.0,0.025,14.1,5185.0,4.44,0.91,15.416
K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,41.5,1.84,297.0,0.9765,994.0,5543.0,4.081,1.58,12.394
K00750.01,CONFIRMED,21.67699193,3.4555,857.2,2.95,18.64,530.0,0.896,34.3,4954.0,4.5,0.828,15.377
K00751.01,CONFIRMED,4.99677968,2.1717,934.7,2.78,166.95,917.0,0.71,28.2,5339.0,4.552,0.847,15.861
K00769.01,CONFIRMED,4.280963604,2.875,750.8,2.3,247.87,1012.0,0.424,61.8,5644.0,4.564,0.831,15.356
K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,1054.12,1452.0,0.86,181.1,5714.0,4.563,0.831,15.525
K00771.01,FALSE POSITIVE,670.645531,53.412,18090.6,14.14,0.35,196.0,0.701,642.7,5520.0,4.466,0.983,15.207
K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,15.43,505.0,1.248,85.3,6144.0,4.402,1.091,15.25
K00773.01,CONFIRMED,38.3775486,5.588,724.2,2.82,18.53,529.0,0.468,34.7,5481.0,4.369,1.036,15.172
K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,3.86,8.76,439.0,0.045,51.2,5031.0,4.485,0.848,15.841
K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,2.65,108.3,823.0,0.105,47.1,5031.0,4.485,0.848,15.841
K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,3.1,29.31,593.0,0.799,33.2,5015.0,4.499,0.826,15.39
K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,3.36,15.55,506.0,0.021,80.0,5586.0,4.56,0.798,15.082
K00759.02,CONFIRMED,91.7732862,6.473,652.0,2.12,3.92,359.0,0.606,19.1,5586.0,4.56,0.798,15.082
K00760.01,CONFIRMED,4.959319244,2.22739,9802.0,12.21,349.4,1103.0,0.831,696.5,5712.0,4.359,1.082,15.263
K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,527.81,1222.0,1.016,48.3,5550.0,4.468,0.91,15.54
K00762.01,CONFIRMED,4.49876511,3.7362,460.0,2.1,389.62,1133.0,0.312,29.5,6075.0,4.486,0.969,15.395
K00763.01,FALSE POSITIVE,19.651209505,5.2514,11766.3,12.42,67.03,730.0,0.723,513.4,6074.0,4.391,1.063,15.536
K00115.01,CONFIRMED,5.412203927,2.9472,601.6,2.94,337.68,1093.0,0.787,166.7,5779.0,4.339,1.087,12.791
K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,5.5,16.72,516.0,0.355,141.1,5468.0,4.367,1.046,15.4
K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,2.52,91.9,790.0,0.023,43.4,5592.0,4.582,0.787,15.317
K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,4.43,565.35,1243.0,0.597,128.6,6174.0,4.417,1.103,15.506
K00767.01,CONFIRMED,2.816504904,2.50587,16813.7,12.21,521.13,1219.0,0.105,1406.8,5532.0,4.452,0.955,15.052
K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,8.11,430.0,0.812,236.1,5040.0,4.628,0.705,15.716
K00786.01,CONFIRMED,3.689920099,2.6557,426.7,1.89,408.99,1147.0,0.151,35.6,5880.0,4.518,0.917,15.242
K00787.01,CONFIRMED,4.431238488,3.15,1010.9,3.25,351.23,1104.0,0.405,71.1,5714.0,4.428,1.015,15.367
K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,3.95,99.68,806.0,0.911,37.9,5714.0,4.428,1.015,15.367
K00788.01,CONFIRMED,26.39432897,3.573,1510.9,3.07,13.49,489.0,0.602,48.2,5129.0,4.595,0.763,15.234
K00116.01,CONFIRMED,13.57078281,3.3539,511.7,2.64,89.61,785.0,0.866,88.4,5854.0,4.406,1.012,12.882
K00115.02,CONFIRMED,7.12594387,3.0014,192.4,1.79,233.31,997.0,0.898,47.1,5779.0,4.339,1.087,12.791
K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446.2,15.03,206.78,967.0,0.137,835.6,6108.0,4.469,0.956,15.27
K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,2.0,8.35,433.0,0.001,28.9,4126.0,4.661,0.615,15.095
K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,2.16,22.18,553.0,0.041,38.7,4126.0,4.661,0.615,15.095
K00775.03,CONFIRMED,36.4454001,4.007,1122.3,1.99,2.88,332.0,0.028,21.7,4126.0,4.661,0.615,15.095
K00776.01,CONFIRMED,3.728732147,2.683,5226.5,6.02,258.34,1023.0,0.558,345.2,5497.0,4.577,0.809,15.523
K00777.01,CANDIDATE,40.4195037,3.362,6256.0,7.51,11.29,467.0,0.911,36.9,5446.0,4.507,0.781,15.487
K00778.01,CONFIRMED,2.243380573,1.1196,821.7,1.99,107.6,822.0,0.915,38.9,4149.0,4.698,0.564,15.135
K00779.01,FALSE POSITIVE,10.405998015,6.5036,14488.8,11.23,113.94,833.0,0.324,745.2,5746.0,4.393,0.924,15.562
K00780.01,CONFIRMED,2.337437946,1.9982,971.2,2.34,311.16,1070.0,0.28,82.4,5005.0,4.595,0.765,15.334
K00780.02,CANDIDATE,7.2406612,0.558,556.4,19.45,68.63,734.0,1.198,13.7,5005.0,4.595,0.765,15.334
K00115.03,CANDIDATE,3.43591631,3.133,23.2,0.55,617.61,1272.0,0.624,8.7,5779.0,4.339,1.087,12.791
K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,2.65,5.82,396.0,0.679,71.0,3688.0,4.79,0.473,15.937
K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,5.31,251.38,1015.0,0.39,221.1,5992.0,4.415,0.989,15.312
K00783.01,CONFIRMED,7.275040844,7.5377,3001.0,4.86,113.64,833.0,0.547,312.1,5485.0,4.556,0.867,15.08
K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,1.93,5.66,393.0,0.031,37.1,4077.0,4.702,0.56,15.385
K00784.02,CONFIRMED,10.06524317,1.369,1053.3,1.91,13.43,488.0,0.628,30.3,4077.0,4.702,0.56,15.385
K00785.01,CONFIRMED,12.3935651,3.8896,916.6,2.66,49.68,677.0,0.883,35.8,5557.0,4.603,0.75,15.505
K00116.02,CONFIRMED,43.84439721,6.802,615.2,2.87,18.77,531.0,0.852,83.7,5854.0,4.406,1.012,12.882
K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,21.55,268.67,1032.0,1.213,39.0,5295.0,4.551,0.811,15.629
K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,1355.88,1547.0,1.26,103.6,5735.0,4.41,0.973,15.279
K00800.01,CONFIRMED,2.711504086,3.0099,837.5,3.12,960.79,1420.0,0.023,64.5,6214.0,4.442,1.076,15.541
K00800.02,CONFIRMED,7.21203748,4.0491,950.4,3.32,260.58,1025.0,0.012,51.5,6214.0,4.442,1.076,15.541
K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,1.88,60.35,711.0,0.1601,11.2,5799.0,4.539,0.878,15.727
K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,2.59,75.44,751.0,0.022,47.6,5354.0,4.587,0.788,15.339
K00790.02,CONFIRMED,60.4189369,5.039,931.3,2.36,5.49,390.0,0.094,20.1,5354.0,4.587,0.788,15.339
K00791.01,CONFIRMED,12.611904345,5.1497,6105.6,7.4,76.15,753.0,0.55,277.2,5795.0,4.508,0.919,15.14
K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,3209.29,1920.0,1.268,112.6,6017.0,4.22,1.339,15.122
K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,28.59,139.26,876.0,1.215,38.2,5927.0,4.409,1.06,15.065
K00794.01,CONFIRMED,2.539183147,2.4282,382.1,2.06,743.09,1332.0,0.238,38.9,5519.0,4.35,1.062,15.026
K00795.01,CONFIRMED,6.770300385,2.0844,1304.0,2.77,102.87,812.0,0.838,50.8,5653.0,4.656,0.679,15.591
K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967.4,27.51,2706.26,1836.0,1.258,299.7,5255.0,4.678,0.636,15.748
K00797.01,CANDIDATE,10.181584004,3.5089,5741.1,7.73,102.91,812.0,0.92,183.6,5988.0,4.541,0.836,15.657
K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,1.96,4.0,361.0,0.556,35.2,3950.0,4.754,0.493,15.954
K00812.03,CONFIRMED,46.1842039,4.758,1394.7,1.83,1.32,273.0,0.013,26.0,3950.0,4.754,0.493,15.954
K00116.04,CONFIRMED,23.9800854,5.351,104.0,1.31,41.94,649.0,0.95,17.1,5854.0,4.406,1.012,12.882
K00812.04,CONFIRMED,7.82502168,2.186,520.8,1.2,14.05,494.0,0.708,15.9,3950.0,4.754,0.493,15.954
K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,7.34,241.62,1005.0,0.524,370.8,5557.0,4.592,0.774,15.725
K00814.01,CONFIRMED,22.36646466,5.228,986.8,2.32,19.45,536.0,0.4,32.1,5395.0,4.615,0.734,15.583
K00801.01,CONFIRMED,1.625522174,2.38963,7969.0,9.73,1467.41,1579.0,0.076,799.7,5539.0,4.322,1.106,15.001
K00802.01,CANDIDATE,19.620346923,2.0038,21724.6,13.6,40.39,643.0,0.458,340.5,5710.0,4.492,0.905,15.562
K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,17.47,116.46,838.0,1.175,14.2,5657.0,4.567,0.824,15.559
K00804.01,CONFIRMED,9.02930689,3.1449,1019.8,2.57,77.75,757.0,0.024,53.9,5349.0,4.526,0.82,15.387
K00805.01,FALSE POSITIVE,10.328035714,7.7915,16917.7,13.28,119.31,843.0,0.281,636.8,5627.0,4.359,1.024,15.646
K00806.01,CONFIRMED,143.2063047,8.9302,10565.7,8.9,2.14,308.0,0.379,138.8,5485.0,4.556,0.867,15.403
K00116.03,CONFIRMED,6.164876,3.262,55.8,0.79,256.35,1021.0,0.646,14.4,5854.0,4.406,1.012,12.882
K00806.02,CONFIRMED,60.32494216,6.6188,20280.4,12.19,6.77,411.0,0.224,347.2,5485.0,4.556,0.867,15.403
K00806.03,CONFIRMED,29.1598615,4.803,488.0,1.91,17.85,524.0,0.3619,11.6,5485.0,4.556,0.867,15.403
K00807.01,FALSE POSITIVE,1.540397253,2.1541,816.1,25.69,1105.68,1470.0,1.225,38.8,5663.0,4.53,0.915,15.974
K00808.01,FALSE POSITIVE,2.99025443,5.414,589.2,1.7,168.45,918.0,0.014,48.5,4667.0,4.578,0.731,15.842
K00809.01,CONFIRMED,1.594745374,1.9604,15044.5,11.3,1329.42,1539.0,0.514,1009.3,5934.0,4.491,0.893,15.53
K00810.01,CONFIRMED,4.783002698,2.335,1008.7,2.5,145.48,886.0,0.003,70.6,5170.0,4.574,0.807,15.119
K00811.01,CONFIRMED,20.50588921,4.0595,2105.5,3.41,17.06,518.0,0.26,78.5,4905.0,4.544,0.761,15.398
K00812.01,CONFIRMED,3.340218842,1.9104,1632.6,2.03,43.73,656.0,0.466,71.6,3950.0,4.754,0.493,15.954
K00828.01,FALSE POSITIVE,2.507089906,2.0067,1339.2,30.26,730.47,1326.0,1.255,64.9,5926.0,4.506,0.939,15.555
K00829.01,CONFIRMED,18.64932728,4.4056,893.6,3.12,57.13,701.0,0.08,46.1,5775.0,4.405,1.053,15.386
K00117.02,CONFIRMED,4.90144976,4.1654,140.7,1.7,598.74,1262.0,0.529,50.6,5847.0,4.191,1.402,12.487
K00829.02,CONFIRMED,9.75192101,4.793,418.0,2.76,135.66,870.0,0.949,28.5,5775.0,4.405,1.053,15.386
K00829.03,CONFIRMED,38.5576546,5.794,993.0,4.02,21.71,550.0,0.911,39.7,5775.0,4.405,1.053,15.386
K00830.01,CONFIRMED,3.525632539,2.59959,22335.0,11.58,213.12,975.0,0.12,1996.7,5150.0,4.572,0.793,15.224
K00815.01,CANDIDATE,34.84398644,2.9315,4523.6,7.61,16.1,511.0,0.934,76.8,5509.0,4.482,0.871,15.684
K00816.01,CONFIRMED,7.748094239,3.5957,2472.1,5.52,204.39,964.0,0.517,113.2,5973.0,4.439,1.085,15.67
K00817.01,CONFIRMED,23.96793669,3.827,1182.3,1.8,2.77,329.0,0.416,27.5,3747.0,4.728,0.524,15.414
K00817.02,CONFIRMED,8.29561738,1.3421,824.3,1.82,11.39,469.0,0.888,17.9,3747.0,4.728,0.524,15.414
K00818.01,CONFIRMED,8.11437482,2.2736,1558.0,2.1,10.55,460.0,0.573,56.4,3692.0,4.753,0.517,15.877
K00819.01,FALSE POSITIVE,38.036729482,4.34617,82871.6,27.5,14.81,500.0,0.501,1300.0,5575.0,4.521,0.932,15.472
K00820.01,CANDIDATE,4.64090031,35.512,2450.6,30.09,421.08,1155.0,1.28,296.9,6463.0,4.5,0.826,15.27
K00011.01,FALSE POSITIVE,3.747838198,5.0642,616.0,13.65,266.76,1031.0,1.121,138.2,5514.0,4.569,0.826,13.496
K00117.01,CONFIRMED,14.74914825,6.0995,430.2,2.89,137.91,874.0,0.173,107.4,5847.0,4.191,1.402,12.487
K00821.01,CONFIRMED,21.81295996,4.3791,1175.4,3.38,39.33,639.0,0.053,37.8,5601.0,4.41,0.999,15.54
K00822.01,FALSE POSITIVE,7.91936937,3.3148,15148.1,10.34,104.0,814.0,0.733,389.0,5690.0,4.588,0.776,15.805
K00823.01,CANDIDATE,1.028436523,1.8606,8098.0,72.77,3400.48,1947.0,1.5734,89.6,6228.0,4.428,0.99,15.202
K00824.01,CONFIRMED,15.37562369,3.3169,15337.0,11.01,30.54,600.0,0.692,166.0,4986.0,4.496,0.833,16.422
K00825.01,CONFIRMED,8.10363271,3.161,887.9,2.11,52.82,687.0,0.047,39.3,4861.0,4.574,0.732,15.289
K00825.02,CONFIRMED,4.71510843,2.506,417.5,1.46,108.84,823.0,0.258,21.3,4861.0,4.574,0.732,15.289
K00826.01,CONFIRMED,6.365839713,2.9721,780.7,2.44,165.33,914.0,0.524,70.8,5776.0,4.554,0.849,15.09
K00827.01,FALSE POSITIVE,5.97581754,3.065,962.4,3.86,284.25,1047.0,0.941,50.3,6108.0,4.471,0.997,15.546
K00839.01,FALSE POSITIVE,2.446737317,4.7211,1177.9,26.25,597.19,1261.0,1.241,110.2,5764.0,4.548,0.863,15.021
K00840.01,CONFIRMED,3.04033046,1.8411,10858.8,8.99,257.29,1021.0,0.736,568.2,5035.0,4.519,0.791,15.028
K00841.01,CONFIRMED,15.33528675,3.897,3081.4,5.0,32.67,610.0,0.773,86.6,5251.0,4.581,0.817,15.855
K00117.04,CONFIRMED,7.95825328,4.377,50.0,1.06,314.15,1074.0,0.706,14.7,5847.0,4.191,1.402,12.487
K00841.02,CONFIRMED,31.33046135,5.176,5073.8,6.5,12.61,481.0,0.798,117.2,5251.0,4.581,0.817,15.855
K00831.01,FALSE POSITIVE,3.9043425,3.831,16228.4,12.28,351.05,1104.0,0.709,323.4,5810.0,4.526,0.898,15.016
K00832.01,FALSE POSITIVE,9.286358079,3.49949,44791.4,17.61,95.03,796.0,0.377,1671.1,5670.0,4.523,0.821,15.365
K00833.01,FALSE POSITIVE,3.951405455,2.1862,2453.9,31.44,388.71,1133.0,1.276,117.2,6046.0,4.539,0.869,15.446
K00834.01,CONFIRMED,23.65369415,8.2183,3341.8,7.89,67.65,731.0,0.008,266.3,5739.0,4.191,1.384,15.084
K00834.02,CONFIRMED,13.23352214,6.7372,504.6,3.06,146.67,888.0,0.014,49.1,5739.0,4.191,1.384,15.084
K00834.03,CONFIRMED,6.15560285,4.9843,285.0,2.32,406.94,1146.0,0.235,35.1,5739.0,4.191,1.384,15.084
K00834.04,CONFIRMED,2.090811305,3.388,115.9,1.62,1718.04,1642.0,0.746,19.9,5739.0,4.191,1.384,15.084
K00117.03,CONFIRMED,3.180027898,3.5797,120.3,1.53,1066.86,1458.0,0.196,50.4,5847.0,4.191,1.402,12.487
K00834.05,CONFIRMED,50.4467417,7.159,370.3,2.67,24.64,568.0,0.379,19.4,5739.0,4.191,1.384,15.084
K00835.01,CONFIRMED,11.76307164,2.9076,1037.3,2.35,33.99,616.0,0.048,48.9,4959.0,4.603,0.756,15.208
K00835.02,CONFIRMED,56.2279271,3.57,862.7,2.37,4.22,366.0,0.7,20.9,4959.0,4.603,0.756,15.208
K00836.01,FALSE POSITIVE,2.384052875,3.0918,1268.1,17.06,244.87,1010.0,1.178,50.5,4794.0,4.58,0.701,15.836
K00837.01,CONFIRMED,7.953547,2.6312,875.4,2.25,55.37,696.0,0.3,38.4,4768.0,4.536,0.779,15.66
K00837.02,CONFIRMED,4.14451656,2.3421,391.8,1.48,132.08,864.0,0.004,22.8,4768.0,4.536,0.779,15.66
K00838.01,FALSE POSITIVE,4.859386384,2.2757,6044.3,38.33,364.23,1114.0,1.259,269.7,6072.0,4.47,0.988,15.311
K00850.01,CONFIRMED,10.526294577,2.5211,9768.0,8.24,61.16,713.0,0.644,482.3,5386.0,4.553,0.793,15.305
K00851.01,CONFIRMED,4.583520948,2.7055,3812.1,5.39,274.98,1038.0,0.045,99.5,5815.0,4.54,0.877,15.287
K00852.01,CONFIRMED,3.76181843,3.5176,510.6,2.66,372.62,1121.0,0.926,35.9,5653.0,4.472,0.949,15.257
K00853.01,CONFIRMED,8.20396958,2.9667,1024.4,3.01,71.5,742.0,0.823,54.4,5015.0,4.499,0.826,15.376
K00853.02,CONFIRMED,14.49645186,4.016,647.5,3.01,33.48,613.0,0.97,25.7,5015.0,4.499,0.826,15.376
K00841.03,CONFIRMED,6.54626149,2.75,655.9,2.19,101.78,810.0,0.644,24.8,5251.0,4.581,0.817,15.855
K00842.01,CONFIRMED,12.71809866,3.0957,1149.4,2.31,23.6,562.0,0.427,52.7,4702.0,4.592,0.686,15.389
K00842.02,CONFIRMED,36.06588163,4.3246,1563.8,2.64,5.88,397.0,0.26,51.7,4702.0,4.592,0.686,15.389
K00843.01,CONFIRMED,4.190425659,2.8589,2877.4,6.21,547.9,1234.0,0.458,240.6,6073.0,4.392,1.135,15.27
K00844.01,CONFIRMED,3.709870784,3.0694,2020.3,4.35,415.1,1151.0,0.023,116.1,5727.0,4.463,0.978,15.581
K00845.01,CONFIRMED,16.3297527,6.271,1187.5,3.75,66.08,727.0,0.791,74.6,5878.0,4.444,0.987,15.447
K00846.01,CONFIRMED,27.807566216,4.21587,25391.1,13.84,22.24,554.0,0.782,748.1,5862.0,4.584,0.785,15.482
K00847.01,CONFIRMED,80.8723469,11.195,3604.6,7.59,9.88,452.0,0.527,160.9,5510.0,4.222,1.238,15.201
K00848.01,FALSE POSITIVE,3.166465862,2.9381,4357.2,26.82,196.31,954.0,1.266,122.1,4968.0,4.575,0.704,15.999
K00118.01,CONFIRMED,24.99324319,5.9409,269.6,2.29,60.88,712.0,0.686,62.0,5718.0,4.181,1.317,12.377
K00849.01,CONFIRMED,10.35533116,3.1775,750.6,2.47,86.22,777.0,0.029,49.2,5501.0,4.462,0.918,15.018
K00867.01,CONFIRMED,16.08518937,3.984,1442.4,3.68,33.43,613.0,0.867,62.6,5239.0,4.523,0.826,15.219
K00868.01,CANDIDATE,235.9986399,8.2284,20714.6,10.59,0.29,188.0,0.778,271.8,4245.0,4.627,0.657,15.172
K00869.01,CONFIRMED,7.49018305,2.7297,1123.6,2.56,76.06,753.0,0.02,53.0,5103.0,4.562,0.787,15.599
K00869.02,CONFIRMED,36.2761238,4.7865,1572.6,3.03,9.29,445.0,0.035,45.5,5103.0,4.562,0.787,15.599
K00869.03,CONFIRMED,17.46087931,2.2641,812.4,2.32,24.6,568.0,0.594,22.6,5103.0,4.562,0.787,15.599
K00854.01,CONFIRMED,56.0560754,4.685,1626.0,1.94,0.69,233.0,0.018,27.4,3593.0,4.757,0.491,15.849
K00855.01,CONFIRMED,41.408316686,5.0264,22838.9,11.38,9.93,453.0,0.377,907.8,5522.0,4.586,0.747,15.196
K00856.01,CANDIDATE,39.74893077,7.3051,15178.9,14.21,21.87,552.0,0.881,561.1,6122.0,4.487,0.964,15.344
K00857.01,CONFIRMED,5.715425977,2.5242,908.1,2.47,123.03,850.0,0.348,59.4,5237.0,4.572,0.826,15.086
K00119.01,CONFIRMED,49.18394185,11.3364,1646.2,8.2,47.4,669.0,0.035,355.7,5626.0,3.907,2.057,12.654
K00857.02,CONFIRMED,20.0261412,1.611,421.2,2.28,23.14,559.0,0.957,10.7,5237.0,4.572,0.826,15.086
K00858.01,CANDIDATE,13.61014819,2.594,5732.9,19.02,68.29,733.0,1.081,184.1,5697.0,4.46,0.903,15.06
K00859.01,FALSE POSITIVE,10.44331991,2.743,1159.8,2.66,46.94,667.0,0.23,51.7,4947.0,4.516,0.802,15.546
K00861.01,CONFIRMED,2.237489571,1.8119,315.8,1.41,427.17,1160.0,0.128,30.7,5265.0,4.58,0.81,15.001
K00862.01,FALSE POSITIVE,5.851520671,3.11058,33003.6,14.62,155.89,901.0,0.211,1630.4,5532.0,4.53,0.806,15.33
K00863.01,CONFIRMED,3.167893418,2.1814,781.2,2.62,526.23,1221.0,0.026,64.8,5895.0,4.503,0.94,15.533
K00864.01,CONFIRMED,4.311780262,2.7251,1154.0,3.11,274.84,1038.0,0.196,86.1,5527.0,4.484,0.927,15.604
K00864.02,CONFIRMED,20.0504494,4.556,840.9,2.69,35.44,622.0,0.383,37.8,5527.0,4.484,0.927,15.604
K00864.03,CONFIRMED,9.76734503,1.6585,569.1,2.67,92.46,791.0,0.9,21.1,5527.0,4.484,0.927,15.604
K00865.01,CANDIDATE,119.0207044,8.1405,7430.5,8.98,4.25,366.0,0.076,223.5,5453.0,4.342,1.062,15.085
K00119.02,CONFIRMED,190.3200468,15.284,1141.7,7.78,7.8,426.0,0.812,139.3,5626.0,3.907,2.057,12.654
K00866.01,FALSE POSITIVE,2.861159894,1.8832,1014.3,4.37,797.1,1355.0,0.965,58.3,6126.0,4.458,1.021,15.618
K00880.01,CONFIRMED,26.44439337,3.9783,1843.5,3.91,23.54,562.0,0.03,88.0,5427.0,4.463,0.929,15.158
K00880.02,CONFIRMED,51.53997972,6.3994,3644.3,5.51,9.67,450.0,0.183,155.5,5427.0,4.463,0.929,15.158
K00880.03,CONFIRMED,5.902245782,2.9003,702.3,2.43,173.74,926.0,0.209,59.3,5427.0,4.463,0.929,15.158
K00880.04,CONFIRMED,2.382951591,1.8876,391.6,1.86,583.01,1253.0,0.479,41.4,5427.0,4.463,0.929,15.158
K00881.01,CONFIRMED,21.02250608,4.1072,1772.5,3.07,17.48,521.0,0.036,62.4,5067.0,4.585,0.75,15.859
K00869.04,CONFIRMED,3.219814777,2.0642,488.2,1.69,234.93,998.0,0.06,30.5,5103.0,4.562,0.787,15.599
K00870.01,CONFIRMED,5.912273234,2.3254,961.4,1.73,27.72,585.0,0.17,62.8,4072.0,4.696,0.57,15.036
K00870.02,CONFIRMED,8.98581901,2.8606,881.3,1.65,15.9,509.0,0.008,51.8,4072.0,4.696,0.57,15.036
K00871.01,CANDIDATE,12.940668656,2.4845,42450.0,22.94,64.64,723.0,0.897,307.5,5875.0,4.572,0.809,15.215
K00120.01,FALSE POSITIVE,20.5452375,2.517,218.5,2.41,71.57,742.0,0.95,18.5,5670.0,4.206,1.264,12.003
K00872.01,CONFIRMED,33.60123371,4.4056,7425.9,8.46,14.22,495.0,0.67,247.9,5149.0,4.447,0.93,15.262
K00872.02,CONFIRMED,6.76652928,2.9004,450.7,1.97,120.48,845.0,0.429,29.2,5149.0,4.447,0.93,15.262
K00873.01,CONFIRMED,4.347288783,2.1024,451.6,2.36,449.79,1174.0,0.025,39.7,5754.0,4.345,1.122,15.024
K00874.01,CONFIRMED,4.601811819,2.2607,755.9,2.35,152.91,896.0,0.567,60.8,4986.0,4.496,0.833,15.024
K00874.02,CONFIRMED,11.18719905,3.252,353.6,1.55,46.65,667.0,0.387,21.9,4986.0,4.496,0.833,15.024
K00875.01,CONFIRMED,4.220965778,3.0854,2260.0,2.62,29.68,595.0,0.705,157.8,3837.0,4.747,0.517,15.692
K00876.01,FALSE POSITIVE,6.998099523,2.0488,20285.0,588.66,125.22,853.0,7.361,192.3,5612.0,4.566,0.829,15.877
K00877.01,CONFIRMED,5.95489993,2.3892,1410.7,2.33,38.52,635.0,0.327,87.2,4261.0,4.641,0.633,15.019
K00877.02,CONFIRMED,12.03987488,2.7363,1250.6,2.18,15.06,502.0,0.286,57.6,4261.0,4.641,0.633,15.019
